10000,حسابات الموردين والعملاء,الرئيسية
10001,حسابات الموردين,الرئيسية
10002,حسابات المجموعة1,الرئيسية
10003,حسابات المجموعة2,الرئيسية
10004,حسابات المجموعة3,الرئيسية
10005,حسابات المجموعة4,الرئيسية
10006,حسابات المجموعة5,الرئيسية
10007,حسابات المجموعة6,الرئيسية
10010,معلومات الموردين والعملاء,الرئيسية
10011,معلومات الموردون,الرئيسية
10012,معلومات المجموعة1,الرئيسية
10013,معلومات المجموعة2,الرئيسية
10014,معلومات المجموعة3,الرئيسية
10015,معلومات المجموعة4,الرئيسية
10016,معلومات المجموعة5,الرئيسية
10017,معلومات المجموعة6,الرئيسية
10100,الرئيسية,الفواتير
10101,جديد,الفواتير
10102,تعديل,الفواتير
10103,حذف,الفواتير
10104,طباعة,الفواتير
10105,بحث,الفواتير
10106,حسابات,الفواتير
10107,الأصناف,الفواتير
10108,التنقل,الفواتير
10109,معلومات المستخدم,الفواتير
10110,اظهار نسبة السعي,الفواتير
10111,ادخال نسبة السعي,الفواتير
10200,الرئيسية,سندات الصرف
10201,جديد,سندات الصرف
10202,تعديل,سندات الصرف
10203,حذف,سندات الصرف
10204,طباعة,سندات الصرف
10205,بحث,سندات الصرف
10206,حسابات,سندات الصرف
10207,تنقل,سندات الصرف
10208,معلومات المستخدم,سندات الصرف
10300,الرئيسية,سندات القبض
10301,جديد,سندات القبض
10302,تعديل,سندات القبض
10303,حذف,سندات القبض
10304,طباعة,سندات القبض
10305,بحث,سندات القبض
10306,حسابات,سندات القبض
10307,تنقل,سندات القبض
10308,معلومات المستخدم,سندات القبض
10400,الرئيسية,سندات القيود
10401,جديد,سندات القيود
10402,تعديل,سندات القيود
10403,حذف,سندات القيود
10404,طباعة,سندات القيود
10405,بحث,سندات القيود
10406,حسابات,سندات القيود
10407,تنقل,سندات القيود
10408,معلومات المستخدم,سندات القيود
10500,الرئيسية,الحسابات
10501,مجموعة الحسابات - جديد,الحسابات
10502,مجموعة الحسابات - تعديل,الحسابات
10503,مجموعة الحسابات - حذف,الحسابات
10504,عناصر مجموعة الحسابات - جديد,الحسابات
10505,عناصر مجموعة الحسابات - تعديل,الحسابات
10506,عناصر مجموعة الحسابات - حذف,الحسابات
10600,الرئيسية,العقود
10601,جديد,العقود
10602,تعديل,العقود
10603,حذف,العقود
10604,طباعة,العقود
10605,بحث,العقود
10606,الحسابات,العقود
10607,تنقل,العقود
10608,معلومات المستخدم,العقود
10700,الرئيسية,تقارير محاسبية
10701,ميزان المراجعة,تقارير محاسبية
10702,كشف بجميع الحسابات,تقارير محاسبية
10703,كشف لمجموعة حسابات,تقارير محاسبية
10704,كشف حسابات مفصل - فواتير,تقارير محاسبية
10705,مشف حسابات مفصل - عام,تقارير محاسبية
10706,كشف بحسابات تجاوزت الحد الائتماني,تقارير محاسبية
10707,بيانات المستندات المحذوفة,تقارير محاسبية
10708,كشف بالأصناف-فواتير-موردين,تقارير محاسبية
10709,كشف بالأصناف-مجاميع-موردين,تقارير محاسبية
10710,كشف بقيم مجموعات الاصناف,تقارير محاسبية
10711,كشف حركة الحسابات اليومية,تقارير محاسبية
10712,ترحيل كل الفواتير والسندات,تقارير محاسبية
10800,الرئيسية,تقارير يومية
10801,كشوف حسابات مدينة -1,تقارير يومية
10802,كشوف حسابات مدينة -2,تقارير يومية
10803,كشوف حسابات مدينة -3,تقارير يومية
10804,كشوف حسابات مدينة -4,تقارير يومية
10805,كشوف حسابات مدينة -5,تقارير يومية
10806,كشوف حسابات مدينة -6,تقارير يومية
10900,اعدادات النظام,الإعدادات
10910,اعدادات عامة - الرئيسية,الإعدادات
10920,بيانات المنشأة -  الرئيسية,الإعدادات
10930,أعدادات الحسابات - الرئيسية,الإعدادات
10940,أعدادات الضريبة - الرئيسية,الإعدادات
10950,صلاحيات المستخدمين - الرئيسية,الإعدادات
10951,صلاحيات المستخدمين - جديد,الإعدادات
10952,صلاحيات المستخدمين - تعديل,الإعدادات
10953,صلاحيات المستخدمين - حذف,الإعدادات
10960,النسخ الاحتياطي والملفات - الرئيسية,الإعدادات
10961,النسخ الاحتياطي والملفات - حفظ البيانات,الإعدادات
10962,النسخ الاحتياطي والملفات - استرجاع البيانات,الإعدادات
10963,النسخ الاحتياطي والملفات - اصلاح وفهرسة,الإعدادات
10970,ترحيل الحسابات لسنة جديدة - الرئيسية,الإعدادات
10980,المعلومات - الرئيسية,الإعدادات
10981,المعلومات - جديد,الإعدادات
10982,المعلومات - تعديل,الإعدادات
10983,المعلومات - حذف,الإعدادات
10984,المعلومات - طباعة,الإعدادات
10990,تغيير سنة البيانات - الرئيسية,الإعدادات
11000,الرسائل - الرئيسية,الرسائل
11100,الامن - الرئيسية,الامن
11200,الرئيسية,الأصناف
11201,جديد,الأصناف
11202,تعديل,الأصناف
11203,حذف,الأصناف
11204,مجموعة,الأصناف
11300,الرئيسية,المراجعة
11301,مراجعة القيود,المراجعة
11302,مراجعة سندات القبض,المراجعة
11303,مراجعة سندات الصرف,المراجعة
11304,مراجعة الفواتير,المراجعة
